epoch,train_loss,train_region_loss,train_boundary_loss,train_distance_loss,train_dual_error_loss,train_iou,train_dice,val_loss,val_region_loss,val_boundary_loss,val_distance_loss,val_dual_error_loss,val_iou,val_dice,base_lr,module_lr
1,0.29682108548890174,0.29682108548890174,0.0,0.0,0.0,0.706489478592324,0.7908460640274317,0.288774569829305,0.288774569829305,0.0,0.0,0.0,0.7134634867692605,0.7970166145226895,2e-05,0.0001
2,0.291313072221469,0.291313072221469,0.0,0.0,0.0,0.7081024467417624,0.7934082925847147,0.28132280997740916,0.28132280997740916,0.0,0.0,0.0,0.7170699336589911,0.8017109711964925,1.9986980580168453e-05,9.99321619703514e-05
3,0.30288361738213393,0.30288361738213393,0.0,0.0,0.0,0.7017899746388461,0.7859959243673139,0.27111244996388756,0.27111244996388756,0.0,0.0,0.0,0.7261199596600655,0.8094622905437763,1.9947958005998597e-05,9.972883382072952e-05
4,0.28766502993824206,0.28766502993824206,0.0,0.0,0.0,0.7138296777168206,0.7998700785425912,0.2756121277809143,0.2756121277809143,0.0,0.0,0.0,0.7242519332812383,0.8076576141210703,1.988303923565381e-05,9.939057285945931e-05
5,0.28087244149857915,0.28087244149857915,0.0,0.0,0.0,0.7183992783580206,0.8048529825379364,0.28532285598608165,0.28532285598608165,0.0,0.0,0.0,0.7192379896457378,0.8018494685490926,1.9792402206971158e-05,9.891830623632337e-05
6,0.2804250730349954,0.2804250730349954,0.0,0.0,0.0,0.723165486238699,0.8066405268896998,0.27881036935708464,0.27881036935708464,0.0,0.0,0.0,0.720805640404041,0.8034520045304909,1.967629534974615e-05,9.831332840130886e-05
7,0.28254006446990293,0.28254006446990293,0.0,0.0,0.0,0.7174256227712715,0.801461414425774,0.27448236300395085,0.27448236300395085,0.0,0.0,0.0,0.7246899482531425,0.8078950399007553,1.9535036904803962e-05,9.75772975566101e-05
8,0.29462222042864405,0.29462222042864405,0.0,0.0,0.0,0.7054232970803185,0.7912843011121834,0.26800881043458596,0.26800881043458596,0.0,0.0,0.0,0.7324251263569563,0.8137794091151311,1.936901405172342e-05,9.671223111161148e-05
9,0.2881289363171147,0.2881289363171147,0.0,0.0,0.0,0.7116973241873547,0.7969725211109735,0.27312256434024906,0.27312256434024906,0.0,0.0,0.0,0.7247729469568301,0.8077491399569389,1.917868184760471e-05,9.572050015330873e-05
10,0.2786793306601786,0.2786793306601786,0.0,0.0,0.0,0.7189493622400064,0.8036497245847651,0.27786137629777957,0.27786137629777957,0.0,0.0,0.0,0.722279455111577,0.8053042521843543,1.8964561979789496e-05,9.46048229473242e-05
11,0.2834673887860458,0.2834673887860458,0.0,0.0,0.0,0.7202522021479312,0.8056547768348086,0.27830179532368976,0.27830179532368976,0.0,0.0,0.0,0.7214390161709908,0.8043702645179552,1.872724133595217e-05,9.336825748732971e-05
12,0.27674441039562225,0.27674441039562225,0.0,0.0,0.0,0.7219910748237002,0.8049625991720014,0.2839855988820394,0.2839855988820394,0.0,0.0,0.0,0.7165637982197297,0.7979867293284489,1.846737039548153e-05,9.201419311329847e-05
13,0.2772505474565303,0.2772505474565303,0.0,0.0,0.0,0.7199153963443452,0.8042409193199292,0.2754000223599947,0.2754000223599947,0.0,0.0,0.0,0.720633903833536,0.8045190896743383,1.8185661446562e-05,9.054634122155987e-05
14,0.27230494950724915,0.27230494950724915,0.0,0.0,0.0,0.725331078588435,0.8092404482638942,0.28500750248248763,0.28500750248248763,0.0,0.0,0.0,0.7132145074697641,0.7967027780337211,1.7882886633841225e-05,8.896872509212005e-05
15,0.28554443619420045,0.28554443619420045,0.0,0.0,0.0,0.7131749755513351,0.7977925633962175,0.2789585162431766,0.2789585162431766,0.0,0.0,0.0,0.7181494893171848,0.8008143975184514,1.7559875842035246e-05,8.7285668861131e-05
16,0.29002247051855107,0.29002247051855107,0.0,0.0,0.0,0.7107746189674445,0.7951058149337769,0.2804149175301576,0.2804149175301576,0.0,0.0,0.0,0.7174137329443907,0.8003139239091139,1.7217514421272203e-05,8.550178566873408e-05
17,0.27027626361994617,0.27027626361994617,0.0,0.0,0.0,0.7279373787145699,0.811691934028558,0.2848302248196724,0.2848302248196724,0.0,0.0,0.0,0.7153056866083389,0.7989045289846567,1.685674076040915e-05,8.362196501476346e-05
18,0.26876297632677365,0.26876297632677365,0.0,0.0,0.0,0.7302674841036839,0.8127460933364599,0.28231175312629114,0.28231175312629114,0.0,0.0,0.0,0.7173844062365018,0.7991177198214409,1.6478543714973456e-05,8.165135935696693e-05
