epoch,train_loss,train_region_loss,train_boundary_loss,train_distance_loss,train_dual_error_loss,train_iou,train_dice,val_loss,val_region_loss,val_boundary_loss,val_distance_loss,val_dual_error_loss,val_iou,val_dice,base_lr,module_lr
1,0.2625700136465309,0.2625700136465309,0.0,0.0,0.0,0.7345470395763364,0.8170773212888599,0.2648373774993114,0.2648373774993114,0.0,0.0,0.0,0.7291071445513995,0.8133381892473269,2e-05,0.0001
2,0.2545843401313883,0.2545843401313883,0.0,0.0,0.0,0.7391331517590886,0.822371214891957,0.2544013139529106,0.2544013139529106,0.0,0.0,0.0,0.736754949276264,0.8215013736333603,1.9986980580168453e-05,9.99321619703514e-05
3,0.2651121774605945,0.2651121774605945,0.0,0.0,0.0,0.7297868649516486,0.8132618992729524,0.2514149390734159,0.2514149390734159,0.0,0.0,0.0,0.7395842197613839,0.8231503700598692,1.9947958005998597e-05,9.972883382072952e-05
4,0.2590999347446239,0.2590999347446239,0.0,0.0,0.0,0.7356977104085737,0.8189454273839968,0.25298069898898784,0.25298069898898784,0.0,0.0,0.0,0.739332713224949,0.8232672202281462,1.988303923565381e-05,9.939057285945931e-05
5,0.25046679390742715,0.25046679390742715,0.0,0.0,0.0,0.7413161634343916,0.8267846951442482,0.2599234623786731,0.2599234623786731,0.0,0.0,0.0,0.736613584176088,0.8187751604960515,1.9792402206971158e-05,9.891830623632337e-05
6,0.25135705362906496,0.25135705362906496,0.0,0.0,0.0,0.7461216228198161,0.826622531477329,0.2566408826754643,0.2566408826754643,0.0,0.0,0.0,0.7367057733046702,0.8197817423404792,1.967629534974615e-05,9.831332840130886e-05
7,0.24707597678741522,0.24707597678741522,0.0,0.0,0.0,0.7462282861228537,0.8290981645077731,0.24913551593438174,0.24913551593438174,0.0,0.0,0.0,0.7436802008213141,0.8269133048179822,1.9535036904803962e-05,9.75772975566101e-05
8,0.25583688268619303,0.25583688268619303,0.0,0.0,0.0,0.7368233541471768,0.8212859662233201,0.24680072558231844,0.24680072558231844,0.0,0.0,0.0,0.7434214096802931,0.8270359925734692,1.936901405172342e-05,9.671223111161148e-05
9,0.2531725592845309,0.2531725592845309,0.0,0.0,0.0,0.7386375676214167,0.8222645526438688,0.2502241238569602,0.2502241238569602,0.0,0.0,0.0,0.7399366849508041,0.8239410669375689,1.917868184760471e-05,9.572050015330873e-05
10,0.24558903553844552,0.24558903553844552,0.0,0.0,0.0,0.7440486887914944,0.8277015385374559,0.2536200009859525,0.2536200009859525,0.0,0.0,0.0,0.7378017132098859,0.8221696230081411,1.8964561979789496e-05,9.46048229473242e-05
11,0.2511080668299599,0.2511080668299599,0.0,0.0,0.0,0.7444066136284212,0.8275721073150635,0.2506605573189564,0.2506605573189564,0.0,0.0,0.0,0.7416785967655671,0.8237048026842949,1.872724133595217e-05,9.336825748732971e-05
