epoch,train_loss,train_region_loss,train_boundary_loss,train_distance_loss,train_dual_error_loss,train_iou,train_dice,val_loss,val_region_loss,val_boundary_loss,val_distance_loss,val_dual_error_loss,val_iou,val_dice,base_lr,module_lr
1,0.45737269652628265,0.21944925307700064,0.15485046329224003,0.01874662767601224,0.7188920842862763,0.766312218345372,0.8451707489722597,0.49051279349204824,0.26054950249500763,0.14347190803442245,0.018444255070808605,0.6995964869474753,0.7334462887201554,0.8142232729838444,2e-05,0.0001
2,0.41909720992620014,0.19879001365826193,0.1528358665187802,0.017988974624107368,0.6823746514531364,0.7807711879763983,0.8605836497998871,0.46353169282277423,0.2479864722643143,0.14436116684705783,0.01821887861841764,0.6741881144352448,0.7438272482309586,0.8252511403499505,1.9986980580168453e-05,9.99321619703514e-05
3,0.413432517674117,0.20645644403664412,0.15148211692550542,0.01818151941803177,0.6490150120406024,0.7764961397753353,0.8551685493604272,0.45397957104903003,0.25130995420309216,0.14259944092004728,0.01818452767836742,0.6342435048176692,0.742647105608231,0.8225079860442724,1.9947958005998597e-05,9.972883382072952e-05
4,0.40281643197599765,0.20643373559006548,0.15321601294310747,0.018323645852835833,0.6174598367868271,0.7776356956600088,0.8573342271610699,0.44027439325283735,0.24799701922979112,0.14211370746294658,0.018105501528733817,0.5991665834035629,0.7427082263506376,0.8248801958866608,1.988303923565381e-05,9.939057285945931e-05
5,0.3949546505392125,0.20839232166784,0.14901793359127719,0.017821308505614246,0.5850950495331688,0.7743219801809935,0.8548980223394074,0.4443603521738297,0.25947447495582776,0.1425622638219442,0.018334874587181287,0.5715404235399686,0.737412734520741,0.8179835405105199,1.9792402206971158e-05,9.891830623632337e-05
6,0.3873381329848703,0.20932767362193724,0.15013586472621007,0.01810839890906241,0.5568365127639433,0.7772806212965366,0.8555320722866903,0.4138814076399192,0.2420703038191184,0.14100534648467333,0.0177109063626864,0.5149655803655967,0.7474826109714997,0.8292670176579402,1.967629534974615e-05,9.831332840130886e-05
7,0.36494057816741743,0.19705354006944503,0.1480914857403367,0.017732233484893774,0.5218765187052499,0.7826629592254098,0.8602295380778018,0.41462657023698857,0.2462890163446084,0.14202871047533475,0.0180621050680295,0.5187328087977874,0.7450925087317443,0.8269388168286055,1.9535036904803962e-05,9.75772975566101e-05
8,0.36125465119834493,0.20044353577942975,0.14856860542719344,0.017897170704616383,0.4950690380239909,0.7798126113098279,0.8602617277508289,0.3947970958856436,0.23570647361950997,0.14011520216098197,0.017589559329625887,0.48606543571521077,0.7511501257236187,0.8348036215855525,1.936901405172342e-05,9.671223111161148e-05
9,0.3652140057719914,0.21032322059690425,0.1478752240670466,0.018075289155265926,0.47148999387184076,0.7694747226428141,0.8499574935541744,0.402317450596736,0.24947418463535798,0.13855869525518172,0.017675039783502235,0.45610431218758607,0.7417825564360008,0.8239072891382071,1.917868184760471e-05,9.572050015330873e-05
10,0.3392576730884282,0.1932800983828781,0.14627704307832548,0.017558539830214156,0.443469914714847,0.7848126297503446,0.8641995444761968,0.39969147168673,0.25187460887126434,0.14083339869976044,0.017935390502978595,0.4396518933467376,0.7373299904358692,0.8215470894789084,1.8964561979789496e-05,9.46048229473242e-05
11,0.3421331625596612,0.20085740880628603,0.14768459997345915,0.017904731914796662,0.42344115687682565,0.7776948930942906,0.8596336714989317,0.3974597252332247,0.25540088415145873,0.14077931894705845,0.017831328415717836,0.4170050049439455,0.7360051155090332,0.8182009666393965,1.872724133595217e-05,9.336825748732971e-05
12,0.3353476379297476,0.20084328751648423,0.1451762997734863,0.017368798152403494,0.40060233225864644,0.7793896314317146,0.8582151073270139,0.38904530574113894,0.25409483665075056,0.13983976115018892,0.017506715731743054,0.38978240031462447,0.7358862864665496,0.8185812320464697,1.846737039548153e-05,9.201419311329847e-05
13,0.3234911249802176,0.19531535442951506,0.145571360018401,0.017420957087481443,0.37790880451160197,0.7785573638645948,0.8601668999258396,0.38239916471334606,0.2535005480815203,0.13975776143563098,0.01795126816783196,0.370777536661197,0.7371959716845782,0.8203929931689531,1.8185661446562e-05,9.054634122155987e-05
14,0.32310489875025455,0.1986820662839223,0.1461000355471552,0.017732620057938374,0.36299123885357276,0.7817411823610289,0.8598122348827598,0.3898313317543421,0.2622856711729979,0.140213696543987,0.017788508247870666,0.3716767112414042,0.7292224700634297,0.8136108007186499,1.7882886633841225e-05,8.896872509212005e-05
15,0.32371774474076465,0.20304140184832886,0.1467948243417571,0.017579715830826126,0.3479622489055701,0.7779101782140478,0.8588383250531897,0.37834745798355496,0.2553775197420365,0.13904031683237125,0.017627807954947155,0.35155117206084424,0.736254533743247,0.8178671543414776,1.7559875842035246e-05,8.7285668861131e-05
16,0.32164109148810394,0.2054532547440149,0.1449484811947409,0.017559128524982825,0.33350364824311923,0.7750075812888356,0.8555939614245321,0.37193107727246405,0.25423653461994267,0.1390563170115153,0.017866631731008872,0.3360594025025001,0.7369542305286114,0.8196570922166874,1.7217514421272203e-05,8.550178566873408e-05
17,0.31498494414629136,0.20304378201212503,0.14320379198916192,0.01787252753016959,0.3198616931923723,0.7799277020766672,0.8575479040103676,0.3714820030408028,0.2575050482383141,0.13751108860358213,0.017953923306404017,0.32304067122630586,0.7364318450291951,0.8185340899687547,1.685674076040915e-05,8.362196501476346e-05
18,0.29112429890484937,0.18565867287395274,0.14290779763090927,0.01731494524046383,0.3007853922590745,0.7916409821636909,0.8706816308266294,0.36782068472642165,0.2563495049109826,0.13764960704705653,0.01794607700445713,0.313031228689047,0.7368897285216894,0.818476564456255,1.6478543714973456e-05,8.165135935696693e-05
