epoch,train_loss,train_region_loss,train_boundary_loss,train_distance_loss,train_dual_error_loss,train_iou,train_dice,val_loss,val_region_loss,val_boundary_loss,val_distance_loss,val_dual_error_loss,val_iou,val_dice,base_lr,module_lr
1,0.29693260472432703,0.29693260472432703,0.0,0.0,0.0,0.7064026224929675,0.7908172644345106,0.2896409410696763,0.2896409410696763,0.0,0.0,0.0,0.7126256144963778,0.7961609883186145,2e-05,0.0001
2,0.29184988299302295,0.29184988299302295,0.0,0.0,0.0,0.7076224167790033,0.7930381160921756,0.2814433755018772,0.2814433755018772,0.0,0.0,0.0,0.7165776066291026,0.801398071875939,1.9986980580168453e-05,9.99321619703514e-05
3,0.3030730169431298,0.3030730169431298,0.0,0.0,0.0,0.7015461668504023,0.7855984721563559,0.2696349018659347,0.2696349018659347,0.0,0.0,0.0,0.7279611929869041,0.8107899488546909,1.9947958005998597e-05,9.972883382072952e-05
4,0.2872259839709881,0.2872259839709881,0.0,0.0,0.0,0.714399564055215,0.8004227074901614,0.2753992496392666,0.2753992496392666,0.0,0.0,0.0,0.7250315705935161,0.8076630983597193,1.988303923565381e-05,9.939057285945931e-05
5,0.2798072207817989,0.2798072207817989,0.0,0.0,0.0,0.7190588158843791,0.8052502380008191,0.2851504435906043,0.2851504435906043,0.0,0.0,0.0,0.7187914524322901,0.8011125839673556,1.9792402206971158e-05,9.891830623632337e-05
6,0.2792061548844903,0.2792061548844903,0.0,0.0,0.0,0.7237312371751904,0.8069745750553841,0.27770919646972264,0.27770919646972264,0.0,0.0,0.0,0.7207947538449214,0.8029585080269056,1.967629534974615e-05,9.831332840130886e-05
7,0.2818107945201671,0.2818107945201671,0.0,0.0,0.0,0.7179097433005814,0.8014886595506584,0.2734105660365178,0.2734105660365178,0.0,0.0,0.0,0.7236959393207844,0.806434136781937,1.9535036904803962e-05,9.75772975566101e-05
8,0.2914614734132733,0.2914614734132733,0.0,0.0,0.0,0.7081107650182944,0.7933478861783458,0.26832964359185635,0.26832964359185635,0.0,0.0,0.0,0.7294391891895197,0.810907315596556,1.936901405172342e-05,9.671223111161148e-05
9,0.2867902546329836,0.2867902546329836,0.0,0.0,0.0,0.7131170350893409,0.7978767314843372,0.27492456222191836,0.27492456222191836,0.0,0.0,0.0,0.7226942869333121,0.8049932113060585,1.917868184760471e-05,9.572050015330873e-05
10,0.2760663159125674,0.2760663159125674,0.0,0.0,0.0,0.7218726672957428,0.8055454170809383,0.2770941110757681,0.2770941110757681,0.0,0.0,0.0,0.7221928260265252,0.8037719897734813,1.8964561979789496e-05,9.46048229473242e-05
11,0.2805824625281106,0.2805824625281106,0.0,0.0,0.0,0.7216760600562644,0.8065943733780785,0.27587972787710335,0.27587972787710335,0.0,0.0,0.0,0.7210176128607529,0.803180160277929,1.872724133595217e-05,9.336825748732971e-05
12,0.27496506933089904,0.27496506933089904,0.0,0.0,0.0,0.7233187856927382,0.8051031363748871,0.28373029354291085,0.28373029354291085,0.0,0.0,0.0,0.714717143926865,0.79528420093732,1.846737039548153e-05,9.201419311329847e-05
13,0.2737988182137498,0.2737988182137498,0.0,0.0,0.0,0.7231306976976648,0.8065898144139653,0.27234844794640173,0.27234844794640173,0.0,0.0,0.0,0.72283839904345,0.8053480343940931,1.8185661446562e-05,9.054634122155987e-05
14,0.27159733621947535,0.27159733621947535,0.0,0.0,0.0,0.7246777140988713,0.808534276696433,0.28303508391747106,0.28303508391747106,0.0,0.0,0.0,0.7143316834400861,0.7967146787887964,1.7882886633841225e-05,8.896872509212005e-05
15,0.2800428637888579,0.2800428637888579,0.0,0.0,0.0,0.7173575616515844,0.8013104031571244,0.28023173228288306,0.28023173228288306,0.0,0.0,0.0,0.7161193392215631,0.7974221902015882,1.7559875842035246e-05,8.7285668861131e-05
16,0.2838709322752151,0.2838709322752151,0.0,0.0,0.0,0.7147020133195725,0.7995810118396726,0.27957987846472326,0.27957987846472326,0.0,0.0,0.0,0.7148795999013461,0.7974474729635777,1.7217514421272203e-05,8.550178566873408e-05
17,0.267992996536525,0.267992996536525,0.0,0.0,0.0,0.7296142572850253,0.8123163633641943,0.2986463189125061,0.2986463189125061,0.0,0.0,0.0,0.7052769786272294,0.7855005545493884,1.685674076040915e-05,8.362196501476346e-05
18,0.2626829504043655,0.2626829504043655,0.0,0.0,0.0,0.7328015164991396,0.815558928304014,0.2859185836254022,0.2859185836254022,0.0,0.0,0.0,0.7126000343224941,0.7928108459863907,1.6478543714973456e-05,8.165135935696693e-05
19,0.26478531587440357,0.26478531587440357,0.0,0.0,0.0,0.7307850987510344,0.8160661174132761,0.26407125424116085,0.26407125424116085,0.0,0.0,0.0,0.7275446442457346,0.8093528680312327,1.6083959896778493e-05,7.95953699884774e-05
20,0.25665987830246445,0.25665987830246445,0.0,0.0,0.0,0.7345201826728551,0.8189020046090658,0.2817323871147938,0.2817323871147938,0.0,0.0,0.0,0.7189287848961659,0.7976029738401755,1.5674070832642756e-05,7.745963223324382e-05
21,0.25413468110877857,0.25413468110877857,0.0,0.0,0.0,0.7356580247921226,0.8207197194605802,0.274005939410283,0.274005939410283,0.0,0.0,0.0,0.7199233018434965,0.8011808535991571,1.5249999999999998e-05,7.524999999999997e-05
22,0.26576719518783876,0.26576719518783876,0.0,0.0,0.0,0.7288151779006012,0.8116877980991802,0.27707400352526934,0.27707400352526934,0.0,0.0,0.0,0.7162267064436888,0.7986951620150835,1.4812909747525691e-05,7.297252973710754e-05
23,0.2670960020175022,0.2670960020175022,0.0,0.0,0.0,0.7266502322348873,0.8099281808971304,0.28649793832730025,0.28649793832730025,0.0,0.0,0.0,0.7109835129517775,0.7912115573883056,1.43639981092201e-05,7.063346383225209e-05
24,0.2699571538024244,0.2699571538024244,0.0,0.0,0.0,0.7267300613158572,0.8082493902307696,0.27521056700975466,0.27521056700975466,0.0,0.0,0.0,0.7210624346366296,0.8021837430122571,1.3904495520680353e-05,6.823921350249236e-05
25,0.2632688107216253,0.2632688107216253,0.0,0.0,0.0,0.7301832643230405,0.8148199330388972,0.27305717162596876,0.27305717162596876,0.0,0.0,0.0,0.7215762193386371,0.803842964539161,1.3435661446562e-05,6.579634122155988e-05
26,0.26903122584376715,0.26903122584376715,0.0,0.0,0.0,0.7298292971290319,0.8134688518743599,0.2799866651877379,0.2799866651877379,0.0,0.0,0.0,0.7179977982472151,0.7986433163667337,1.2958780928473946e-05,6.331154273257476e-05
27,0.2565265667122022,0.2565265667122022,0.0,0.0,0.0,0.7368323702727799,0.820505611664426,0.27022242301549665,0.27022242301549665,0.0,0.0,0.0,0.7258922497431437,0.8066615410340138,1.2475161062768711e-05,6.079162869547906e-05
28,0.27146871796751443,0.27146871796751443,0.0,0.0,0.0,0.7254103891617429,0.808961231096656,0.2667817644583873,0.2667817644583873,0.0,0.0,0.0,0.7260979557648684,0.8089419053151057,1.1986127417882193e-05,5.824350601949141e-05
