comparison,metric,cases,mean_delta,ci95_low,ci95_high,wilcoxon_statistic,p_value_one_sided,improved_cases,degraded_cases
chapter1_UAB_seed41_vs_U,iou,195,0.024023474800555316,0.008956335525479081,0.04057603836122629,11048.0,0.021118864507852796,100,94
chapter1_UAB_seed41_vs_U,dice,195,0.022248277356979113,0.007362889197112049,0.0384906924759385,11018.0,0.02313848212827956,100,94
chapter1_UAB_seed41_vs_UB_seed41,iou,195,0.00654572573332201,-0.0006673084075251453,0.01510720883453622,10283.0,0.0931404815962022,99,93
chapter1_UAB_seed41_vs_UB_seed41,dice,195,0.004062569118160499,-0.002658997037105293,0.01213152363684021,10271.0,0.09575977329320812,99,93
chapter2_UABCD_seed73_vs_UAB_seed73,iou,195,0.008521408495249207,-0.0005130674515527635,0.017931189479612877,11547.0,0.003810387853822393,112,82
chapter2_UABCD_seed73_vs_UAB_seed73,dice,195,0.005926849261518031,-0.002923260311349903,0.01471643937192878,11519.0,0.004235863693042042,112,82
chapter2_UABCD_seed73_vs_U,iou,195,0.029967185506380254,0.0143947454118417,0.047063516525949325,11537.0,0.0025464022820990595,105,88
chapter2_UABCD_seed73_vs_U,dice,195,0.026640466521969705,0.012674326780003728,0.04222612524730004,11463.0,0.0034063049073891644,105,88
