model,iou,dice,iou_std,dice_std
U,0.7244497095944568,0.8071810023183975,0.24613351921066912,0.23614054951437247
UA,0.7362157801618162,0.8181726499936502,0.235918732849135,0.2246304798047187
UB,0.74192745866169,0.825366710557216,0.22381338131554396,0.21083215183032328
UAB,0.748473184395012,0.8294292796753765,0.22408790515435,0.21313017193943998
UABC,0.7493209303968137,0.8302194133892946,0.2248800412103157,0.21039517080640743
UABCD,0.7511501227930785,0.8348036264208096,0.21111671328528356,0.1957788644919218
