variant,active_parameters,active_parameters_m,gmacs_256,latency_ms_batch1
U,8985121,8.985121,17.155227648,5.376102999999998
UA,11210197,11.210197,19.400186824,8.799164999999999
UB,9051682,9.051682,17.172529152,5.3466469999999955
UAB,11276758,11.276758,19.417488328,8.911641000000001
UABC,11286714,11.286714,20.073896904,9.264685999999998
UABCD,11307232,11.307232,21.399034824,10.032359000000017
