seed,model,iou,dice
41,U,0.7244497079115647,0.8071810043775118
41,UA,0.7362157888901539,0.8181726535161337
41,UB,0.7419274550217848,0.8253667183411427
41,UAB,0.7484731888159727,0.8294292798409095
41,UABC,0.7493209245877388,0.8302194155179538
41,UABCD,0.7511501257236187,0.8348036215855525
7,U,0.7244497079115647,0.8071810043775118
7,UA,0.7369699713511345,0.8176640431086223
7,UB,0.7380062078818297,0.8218153635660808
7,UAB,0.744134154686561,0.8274665288436107
7,UABC,0.744913878196325,0.8276329511251205
7,UABCD,0.7482712513361222,0.8305482008518317
73,U,0.7244497079115647,0.8071810043775118
73,UA,0.7418513383620825,0.8225642821727654
73,UB,0.7403456755173512,0.8235072692235311
73,UAB,0.7458954823322785,0.8278946155156844
73,UABC,0.7496603806813558,0.8308861866975442
73,UABCD,0.7544168906334119,0.8338214586942624
