model,seeds,iou_mean,iou_std,dice_mean,dice_std
U,3,0.7244497079115647,0.0,0.807181004377512,1.3597399555105182e-16
UA,3,0.738345699534457,0.0030593014706676754,0.8194669929325071,0.002694359221600226
UB,3,0.7400931128069885,0.0019727862847127766,0.823563117043585,0.0017763359532595242
UAB,3,0.746167608611604,0.0021822795027160486,0.8282634747334016,0.0010320565445849058
UABC,3,0.7479650611551398,0.002647847370222636,0.8295795177802061,0.0017184258082622251
UABCD,3,0.7512794225643843,0.0030748591590301997,0.8330577603772156,0.002228133242164955
